Area_sqft,Bedrooms,Bathrooms,Age_years,Parking,Location_Score,Price_Lakh
3674,2,1,3,0,8,402.08
1360,2,3,17,0,1,162.42
1794,3,3,0,0,7,259.82
1630,2,2,26,1,9,233.16
1595,1,1,6,2,8,232.06
3592,5,5,5,1,8,437.29
2138,5,4,30,0,6,289.06
2669,4,4,14,0,4,330.56
966,2,2,17,2,8,160.14
1738,1,1,23,1,3,178.41
830,4,5,10,2,9,199.19
1982,3,3,19,1,2,217.02
2635,4,4,23,0,2,287.33
3944,4,5,14,2,7,468.54
3671,2,1,15,2,10,434.66
3419,3,4,6,0,4,377.99
630,4,4,20,2,10,182.66
2185,1,1,9,1,8,279.51
3880,1,1,25,1,9,382.18
1269,5,5,11,1,7,223.05
2891,3,3,23,1,5,297.93
2015,3,3,13,0,8,263.04
3985,5,4,24,2,4,425.92
3353,4,5,4,1,2,392.14
2933,3,3,25,0,6,298.92
1715,1,2,20,2,9,232.77
1455,1,2,17,2,1,169.06
2824,2,1,4,0,10,351.37
1684,3,4,2,0,7,270.38
959,4,3,22,1,10,207.15
3885,5,5,25,2,9,470.47
521,5,5,4,2,10,178.62
2800,4,5,23,0,9,349.19
1247,2,2,16,2,10,194.2
3404,5,5,18,1,3,391.51
974,3,4,18,2,5,178.27
1582,2,2,24,0,8,222.63
3058,3,2,20,0,8,344.35
2547,1,2,11,1,4,264.67
3247,2,1,24,1,1,311.91
1475,5,5,28,2,1,195.14
2306,2,3,8,2,4,261.57
689,2,3,0,0,6,143.46
3505,2,3,17,1,8,386.95
3234,2,2,20,1,6,340.49
3505,3,4,3,1,9,409.27
1062,1,1,30,2,9,176.15
2399,4,5,9,1,2,308.74
1767,2,2,24,0,10,248.13
3379,5,5,6,0,1,375.98
2028,2,3,21,2,2,234.17
3702,5,5,22,2,5,428.77
1146,3,4,0,1,4,180.25
2568,5,5,16,2,4,345.52
3388,4,4,23,0,9,396.94
2714,1,1,28,1,8,310.27
1797,5,5,28,0,6,265.91
2935,5,5,1,1,1,318.32
1100,1,2,27,2,2,127.64
2863,4,4,25,1,6,342.78
2561,2,2,10,1,2,273.78
741,5,5,8,0,10,214.4
2541,1,1,6,0,5,287.18
3324,3,3,21,1,5,363.8
3917,1,2,16,2,6,410.8
3112,3,3,16,2,6,358.58
3445,4,5,1,0,6,396.97
1863,2,1,5,2,2,214.49
2639,1,1,13,0,10,325.85
1890,5,5,5,2,3,280.71
3503,4,3,1,1,6,413.55
1978,1,1,0,0,8,271.14
3999,5,4,9,0,1,424.09
3056,1,2,20,1,1,303.13
1275,3,3,4,0,2,188.02
534,1,1,1,2,6,121.06
2753,1,1,21,2,9,329.07
3652,1,1,15,0,4,348.38
2455,4,3,24,2,3,289.27
2085,1,1,1,0,8,270.5
3959,5,4,9,1,10,494.28
3573,3,4,1,0,9,437.9
1521,3,3,15,1,5,227.3
3961,1,1,15,2,9,425.74
3113,4,4,18,1,2,335.76
1629,4,5,28,2,3,218.97
2000,5,5,6,0,7,301.3
1202,1,1,21,2,7,152.82
2949,3,3,11,0,6,358.5
3277,4,4,23,0,6,376.12
2079,1,1,14,1,2,210.63
661,4,3,7,1,10,159.28
701,4,3,5,1,6,165.89
2481,3,3,27,1,4,278.95
1495,2,2,26,2,3,170.41
2817,5,5,9,2,2,328.52
1315,5,5,2,2,1,206.16
3842,3,4,18,0,5,404.81
955,4,5,30,2,2,163.54
1775,1,1,16,2,2,182.49
1516,4,4,6,2,7,251.82
2843,3,3,20,1,8,358.82
3267,5,5,19,2,10,423.91
837,4,4,25,0,8,185.17
1378,5,4,30,1,4,210.14
1576,1,2,3,0,1,175.11
1291,5,4,13,2,7,233.48
2764,5,5,19,1,1,308.73
1263,2,1,21,0,4,162.52
2735,2,1,14,2,8,320.98
879,2,2,23,0,2,136.32
992,5,5,7,0,6,214.5
3612,3,3,20,0,6,375.59
1680,5,5,14,2,9,268.93
2562,3,4,21,2,5,305.55
564,3,3,19,0,10,157.85
3068,2,2,27,1,4,316.03
1867,4,3,13,1,5,261.06
1652,1,1,26,2,10,234.31
2527,2,2,28,2,5,285.26
